


      Monthly sea levels for SUVA
      ---------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
       11 1997  2172     5028      0.132      1.972      1.067     0.451
       12 1997   926     6514      0.146      1.950      1.081     0.451
        1 1998     0     7440      0.151      2.069      1.103     0.455
        2 1998     0     6720      0.177      1.963      1.084     0.429
        3 1998     0     7440      0.109      1.963      1.040     0.449
        4 1998     0     7200      0.104      1.888      0.996     0.434
        5 1998     0     7440      0.101      1.901      0.978     0.428
        6 1998     0     7200      0.115      1.901      1.018     0.425
        7 1998     0     7440      0.169      1.747      0.996     0.411
        8 1998     0     7440      0.176      1.803      0.983     0.422
        9 1998   260     6940      0.070      1.796      0.964     0.438
       10 1998     0     7440      0.088      1.936      0.983     0.439
       11 1998     0     7200      0.087      1.986      1.056     0.440
       12 1998     0     7440      0.091      1.995      1.034     0.452
        1 1999     0     7440     -0.010      1.873      0.986     0.452
        2 1999     0     6720      0.136      1.952      1.030     0.442
        3 1999     0     7440      0.230      1.859      1.043     0.434
        4 1999     0     7200      0.183      1.998      1.063     0.424
        5 1999     0     7440      0.133      2.000      1.063     0.425
        6 1999     0     7200      0.117      2.090      1.092     0.436
        7 1999     0     7440      0.100      2.026      1.088     0.451
        8 1999     0     7440      0.124      1.937      1.059     0.458
        9 1999  2260     4940      0.262      1.912      1.086     0.441
       10 1999   506     6934      0.232      1.947      1.096     0.431
       11 1999     0     7200      0.127      2.080      1.129     0.441
       12 1999     0     7440      0.147      2.104      1.112     0.441
        1 2000     0     7440      0.236      2.151      1.195     0.440
        2 2000     0     6960      0.244      2.053      1.187     0.445
        3 2000     0     7440      0.330      1.953      1.183     0.423
        4 2000     0     7200      0.357      1.996      1.125     0.430
        5 2000     0     7440      0.181      1.942      1.098     0.446
        6 2000     0     7200      0.151      2.066      1.135     0.452
        7 2000     0     7440      0.204      2.155      1.155     0.460
        8 2000     0     7440      0.149      2.103      1.188     0.458
        9 2000     0     7200      0.269      1.999      1.154     0.429
       10 2000     0     7440      0.354      1.961      1.160     0.422
       11 2000   194     7006      0.271      1.955      1.138     0.411
       12 2000     0     7440      0.202      2.108      1.140     0.429
        1 2001     0     7440      0.147      2.107      1.163     0.438
        2 2001     0     6720      0.203      2.146      1.201     0.437
        3 2001     0     7440      0.153      1.977      1.145     0.424
        4 2001     0     7200      0.299      2.072      1.145     0.436
        5 2001     0     7440      0.265      1.935      1.113     0.434
        6 2001     0     7200      0.141      1.906      1.046     0.443
        7 2001     0     7440      0.107      1.960      1.036     0.439
        8 2001     0     7440      0.102      2.022      1.108     0.440
        9 2001     0     7200      0.213      2.033      1.133     0.430
       10 2001     0     7440      0.306      2.066      1.171     0.423
       11 2001     0     7200      0.332      2.031      1.170     0.411
       12 2001     0     7440      0.292      1.983      1.174     0.417
        1 2002     0     7440      0.240      2.105      1.178     0.440
        2 2002     0     6720      0.236      2.053      1.189     0.431
        3 2002     0     7440      0.242      2.109      1.188     0.446
        4 2002     0     7200      0.231      2.097      1.165     0.445
        5 2002     0     7440      0.112      1.922      1.089     0.435
        6 2002     0     7200      0.254      1.953      1.095     0.428
        7 2002     0     7440      0.290      1.911      1.109     0.415
        8 2002     0     7440      0.205      1.935      1.120     0.413
        9 2002     0     7200      0.255      1.982      1.117     0.414
       10 2002     0     7440      0.245      2.120      1.157     0.424
       11 2002     0     7200      0.240      2.047      1.167     0.407
       12 2002     0     7440      0.272      2.044      1.117     0.424
        1 2003     0     7440      0.262      2.026      1.150     0.420
        2 2003     0     6720      0.261      1.921      1.137     0.422
        3 2003     0     7440      0.254      1.979      1.150     0.425
        4 2003     0     7200      0.214      2.026      1.108     0.424
        5 2003     0     7440      0.129      2.031      1.049     0.424
        6 2003     0     7200      0.008      1.903      0.999     0.430
        7 2003     0     7440      0.086      1.913      1.036     0.432
        8 2003     0     7440      0.198      1.855      1.035     0.441
        9 2003     0     7200      0.243      1.941      1.042     0.428
       10 2003     0     7440      0.201      2.010      1.096     0.422
       11 2003     0     7200      0.139      2.026      1.078     0.416
       12 2003     0     7440      0.170      2.046      1.117     0.418
        1 2004     0     7440      0.173      2.016      1.116     0.419
        2 2004     0     6960      0.315      1.945      1.156     0.416
        3 2004     0     7440      0.415      1.931      1.180     0.396
        4 2004     0     7200      0.399      2.022      1.115     0.410
        5 2004     0     7440      0.225      2.031      1.124     0.428
        6 2004     0     7200      0.136      1.991      1.073     0.429
        7 2004     0     7440      0.104      1.997      1.104     0.439
        8 2004     0     7440      0.199      2.036      1.105     0.425
        9 2004     0     7200      0.255      1.916      1.106     0.420
       10 2004     0     7440      0.348      1.955      1.123     0.422
       11 2004     0     7200      0.255      2.015      1.137     0.410
       12 2004     0     7440      0.181      1.976      1.097     0.411
        1 2005     0     7440      0.141      2.054      1.168     0.420
        2 2005     0     6720      0.265      2.092      1.201     0.420
        3 2005     0     7440      0.278      1.990      1.139     0.413
        4 2005     0     7200      0.208      1.997      1.121     0.426
        5 2005     0     7440      0.257      1.954      1.065     0.431
        6 2005     0     7200      0.106      1.883      1.045     0.432
        7 2005     0     7440      0.112      1.977      1.067     0.428
        8 2005     0     7440      0.168      2.007      1.052     0.420
        9 2005     0     7200      0.191      1.961      1.083     0.415
       10 2005     0     7440      0.295      2.006      1.140     0.417
       11 2005     0     7200      0.287      1.933      1.128     0.407
       12 2005     0     7440      0.230      1.968      1.122     0.415
        1 2006     0     7440      0.213      2.095      1.162     0.429
        2 2006     0     6720      0.193      2.068      1.142     0.413
        3 2006     0     7440      0.210      2.027      1.121     0.440
        4 2006     0     7200      0.233      2.018      1.124     0.428
        5 2006     0     7440      0.265      1.954      1.105     0.411
        6 2006     0     7200      0.291      1.955      1.161     0.409
        7 2006     0     7440      0.294      1.977      1.132     0.409
        8 2006     0     7440      0.249      2.058      1.131     0.416
        9 2006     0     7200      0.226      2.007      1.115     0.423
       10 2006     0     7440      0.197      2.025      1.134     0.419
       11 2006     0     7200      0.236      2.026      1.173     0.418
       12 2006     0     7440      0.301      2.041      1.190     0.406
        1 2007     0     7440      0.342      2.005      1.234     0.421
        2 2007     0     6720      0.307      2.017      1.221     0.417
        3 2007     0     7440      0.312      2.112      1.219     0.429
        4 2007     0     7200      0.288      2.152      1.159     0.426
        5 2007     0     7440      0.127      2.072      1.114     0.430
        6 2007     0     7200      0.170      1.989      1.077     0.426
        7 2007     0     7440      0.293      2.005      1.168     0.423
        8 2007     0     7440      0.318      1.960      1.172     0.425
        9 2007     0     7200      0.332      2.094      1.197     0.422
       10 2007     0     7440      0.299      2.141      1.213     0.420
       11 2007     0     7200      0.280      2.174      1.235     0.422
       12 2007     0     7440      0.302      2.148      1.234     0.407
        1 2008     0     7440      0.255      2.138      1.229     0.393
        2 2008     0     6960      0.405      2.002      1.222     0.401
